ID,t,p,bias.acc,bias.acc.lb,bias.acc.ub,bias.sen,bias.sen.lb,bias.sen.ub,bias.sp,bias.sp.lb,bias.sp.ub,bias.cut,bias.cut.lb,bias.cut.ub,mse.acc,mse.sen,mse.sp,mse.cut
1,1,1,-.023016667,-.02444,-.021593,.002164516,.000408,.003921,-.048197849,-.052133,-.044263,-2.500333333,-2.627,-2.373,.000530986,8.14147E-006,.002327131,6.254588014
2,1,2,-.01489,-.015917,-.013863,2.16993E-005,-.001395,.001439,-.029801699,-.032753,-.02685,-1.467333333,-1.573,-1.362,.000222451,2.12434E-006,.000890469,2.154861571
3,1,3,-.008018333,-.008703,-.007334,-.000943201,-.001774,-.000112,-.015093465,-.017018,-.013169,-.594,-.669,-.519,6.46401E-005,1.86316E-006,.000228802,.35375407
4,1,4,-.0055,-.005981,-.005019,-.000751082,-.001316,-.000186,-.010248918,-.011613,-.008885,-.393,-.455,-.331,3.04741E-005,1.18055E-006,.000105542,.155013733
5,1,5,-.0041475,-.004484,-.003811,-.000633325,-.00112,-.000147,-.007661675,-.008661,-.006662,-.307,-.36,-.254,1.73499E-005,8.53193E-007,5.89754E-005,.094634898
6,1,6,-.003212,-.003478,-.002946,-.000269328,-.000706,.000167,-.006154672,-.007019,-.00529,-.233,-.281,-.185,1.04302E-005,4.3344E-007,3.80833E-005,.054600922
7,1,7,-.002937222,-.003199,-.002675,-8.88852E-005,-.000519,.000341,-.005785559,-.006635,-.004936,-.214333333,-.261,-.168,8.72534E-006,3.124E-007,3.36753E-005,.046224587
8,1,8,-.002447143,-.002638,-.002256,5.52381E-005,-.000183,.000294,-.004949524,-.005458,-.004441,-.244,-.286,-.202,6.06397E-006,2.39369E-007,2.45746E-005,.059774342
9,1,9,-.002235417,-.002413,-.002058,.000171667,-6.1E-005,.000405,-.0046425,-.005129,-.004156,-.203666667,-.244,-.163,5.0643E-006,2.38758E-007,2.16227E-005,.041695919
10,1,10,-.001951481,-.002085,-.001818,.000134815,-8.7E-005,.000356,-.004037778,-.004439,-.003636,-.191333333,-.23,-.153,3.86613E-006,2.10507E-007,1.63521E-005,.036811712
11,1,11,-.001926333,-.002143,-.001709,.000336667,-2.8E-005,.000701,-.004189333,-.004635,-.003744,-.223,-.263,-.183,3.7727E-006,3.05626E-007,1.7609E-005,.049990483
